Time: 12.35, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 97.8, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 108.3, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 13.25, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.74, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.75, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 67.4, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 78.65, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 89.65, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 99.6, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 70.76, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 12.87, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 106.78, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 13.04, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.65, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.45, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 67.15, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 79.7, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 102.6, Collision Actor ID: 54, Collision Actor Type: vehicle.audi.a2
Time: 105.4, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.32, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.2, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 68.45, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 69.3, Collision Actor ID: 43, Collision Actor Type: vehicle.tesla.model3
Time: 104.85, Collision Actor ID: 54, Collision Actor Type: vehicle.audi.a2
Time: 13.0, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 68.15, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 13.51, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.4, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 67.5, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 78.9, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 90.1, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 12.5, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 66.85, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 78.4, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 89.55, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 99.65, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 12.47, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.39, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 66.84, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 78.89, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 90.54, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 100.99, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 12.3, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 66.8, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 78.7, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 90.3, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 100.6, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 12.53, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.12, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 11.67, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 64.02, Collision Actor ID: 42, Collision Actor Type: vehicle.tesla.model3
Time: 75.42, Collision Actor ID: 45, Collision Actor Type: vehicle.tesla.model3
Time: 86.57, Collision Actor ID: 48, Collision Actor Type: vehicle.tesla.model3
Time: 97.42, Collision Actor ID: 52, Collision Actor Type: vehicle.tesla.model3
Time: 11.58, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.34, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 11.72, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.46, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.03, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 12.7, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
Time: 13.19, Collision Actor ID: 30, Collision Actor Type: vehicle.tesla.model3
